frequency	level
21.533203	-65.904297
43.066406	-60.797672
64.599609	-58.828510
86.132813	-53.796818
107.666016	-45.933689
129.199219	-31.469383
150.732422	-12.560738
172.265625	-10.076446
193.798828	-19.992931
215.332031	-41.548912
236.865234	-49.773853
258.398438	-53.576271
279.931641	-50.676811
301.464844	-32.732334
322.998047	-21.103983
344.531250	-21.940670
366.064453	-36.369740
387.597656	-52.435730
409.130859	-57.167343
430.664063	-56.521629
452.197266	-49.401844
473.730469	-27.865589
495.263672	-20.860487
516.796875	-24.708134
538.330078	-43.683224
559.863281	-54.959900
581.396484	-56.578701
602.929688	-52.237865
624.462891	-38.105953
645.996094	-23.272451
667.529297	-19.918339
689.062500	-26.576256
710.595703	-47.699413
732.128906	-51.448948
753.662109	-52.828266
775.195313	-51.691364
796.728516	-36.638668
818.261719	-26.952250
839.794922	-26.477104
861.328125	-35.922276
882.861328	-55.248455
904.394531	-59.227390
925.927734	-60.666931
947.460938	-55.573414
968.994141	-42.893932
990.527344	-37.554741
1012.060547	-39.639397
1033.593750	-51.027542
1055.126953	-60.964500
1076.660156	-61.406315
1098.193359	-59.634232
1119.726563	-48.229553
1141.259766	-38.274189
1162.792969	-34.587910
1184.326172	-37.952076
1205.859375	-50.466366
1227.392578	-55.423805
1248.925781	-53.934433
1270.458984	-50.585686
1291.992188	-41.547112
1313.525391	-35.310619
1335.058594	-34.651356
1356.591797	-41.442944
1378.125000	-56.063705
1399.658203	-59.370087
1421.191406	-58.538895
1442.724609	-55.217537
1464.257813	-47.529491
1485.791016	-45.070408
1507.324219	-46.268280
1528.857422	-53.060932
1550.390625	-63.195984
1571.923828	-64.299866
1593.457031	-64.051407
1614.990234	-60.210316
1636.523438	-52.764183
1658.056641	-48.268223
1679.589844	-49.780472
1701.123047	-58.590488
1722.656250	-68.072495
1744.189453	-69.933533
1765.722656	-68.113243
1787.255859	-63.753403
1808.789063	-58.638176
1830.322266	-56.177429
1851.855469	-58.933159
1873.388672	-67.890953
1894.921875	-74.534439
1916.455078	-74.963264
1937.988281	-70.148064
1959.521484	-63.597641
1981.054688	-58.736176
2002.587891	-57.464687
2024.121094	-60.999416
2045.654297	-69.351051
2067.187500	-72.127274
2088.720703	-70.467659
2110.253906	-65.161736
2131.787109	-59.676830
2153.320313	-55.336399
2174.853516	-55.295357
2196.386719	-61.129791
2217.919922	-70.076881
2239.453125	-73.253166
2260.986328	-68.820541
2282.519531	-63.196980
2304.052734	-59.611889
2325.585938	-58.298046
2347.119141	-60.700687
2368.652344	-66.801682
2390.185547	-75.197723
2411.718750	-74.336159
2433.251953	-68.002441
2454.785156	-63.826641
2476.318359	-60.898800
2497.851563	-59.459507
2519.384766	-61.259922
2540.917969	-66.825371
2562.451172	-73.408310
2583.984375	-69.067322
2605.517578	-62.671871
2627.050781	-58.407310
2648.583984	-55.752586
2670.117188	-56.179409
2691.650391	-58.278503
2713.183594	-63.636765
2734.716797	-68.467583
2756.250000	-62.500202
2777.783203	-58.689991
2799.316406	-54.271793
2820.849609	-52.125954
2842.382813	-52.276760
2863.916016	-54.465565
2885.449219	-60.361340
2906.982422	-59.545799
2928.515625	-52.625000
2950.048828	-47.896309
2971.582031	-43.914005
2993.115234	-42.183468
3014.648438	-42.318676
3036.181641	-44.646935
3057.714844	-51.947716
3079.248047	-52.808331
3100.781250	-50.799053
3122.314453	-49.988121
3143.847656	-49.302120
3165.380859	-49.961369
3186.914063	-52.719017
3208.447266	-57.255699
3229.980469	-63.686214
3251.513672	-61.170197
3273.046875	-59.232822
3294.580078	-57.164783
3316.113281	-56.180504
3337.646484	-55.766022
3359.179688	-58.110222
3380.712891	-62.532146
3402.246094	-64.632530
3423.779297	-61.832413
3445.312500	-61.743927
3466.845703	-61.059765
3488.378906	-61.190727
3509.912109	-63.389660
3531.445313	-68.071259
3552.978516	-66.826744
3574.511719	-60.351486
3596.044922	-53.634125
3617.578125	-48.240597
3639.111328	-46.156273
3660.644531	-45.605598
3682.177734	-46.620743
3703.710938	-49.028893
3725.244141	-52.602551
3746.777344	-51.819805
3768.310547	-51.603157
3789.843750	-49.243099
3811.376953	-46.768188
3832.910156	-45.328430
3854.443359	-46.742886
3875.976563	-49.644676
3897.509766	-51.653652
3919.042969	-51.729866
3940.576172	-50.932701
3962.109375	-49.520966
3983.642578	-49.687798
